País,Tarics,Descripción,Año,Exportaciones,Importaciones
Corea del Sur,0708,Verduras y hortalizas,2011,386.88,0.44
Corea del Sur,0803,Frutas y frutos secos,2011,6.16,nan
Corea del Sur,0804,Frutas y frutos secos,2011,1735.15,9.60
Corea del Sur,0805,Frutas y frutos secos,2011,11213.97,nan
Corea del Sur,0806,Frutas y frutos secos,2011,1076.27,nan
Corea del Sur,0807,Frutas y frutos secos,2011,123.33,nan
Corea del Sur,0808,Frutas y frutos secos,2011,3022.56,182.19
Corea del Sur,0809,Frutas y frutos secos,2011,1320.54,nan
Corea del Sur,0810,Frutas y frutos secos,2011,9931.26,35.53
Corea del Sur,1101,Cereales y harinas,2011,1204.18,42.67
Corea del Sur,1102,Cereales y harinas,2011,941.55,21.40
Corea del Sur,1103,Cereales y harinas,2011,745.14,36.81
Corea del Sur,1104,Cereales y harinas,2011,157.57,29.62
Corea del Sur,0401,"Huevos, productos lácteos y miel",2011,14455.00,nan
Corea del Sur,0402,"Huevos, productos lácteos y miel",2011,65275.71,nan
Corea del Sur,0403,"Huevos, productos lácteos y miel",2011,805.49,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2011,68636.90,12.57
Corea del Sur,0405,"Huevos, productos lácteos y miel",2011,3533.53,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2011,159443.29,0.38
Corea del Sur,0407,"Huevos, productos lácteos y miel",2011,9.17,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2011,109.59,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2011,1602.23,nan
Corea del Sur,1509,Aceites,2011,111342.14,9.11
Corea del Sur,1511,Aceites,2011,738.50,0.08
Corea del Sur,1512,Aceites,2011,9074.15,0.06
Corea del Sur,2201,Bebidas,2011,49604.28,96.97
Corea del Sur,2202,Bebidas,2011,36201.84,7004.52
Corea del Sur,2203,Bebidas,2011,158843.27,129.80
Corea del Sur,2204,Bebidas,2011,742167.14,4.11
Corea del Sur,2205,Bebidas,2011,6139.76,0.07
Corea del Sur,2206,Bebidas,2011,2477.28,279.23
Corea del Sur,2207,Bebidas,2011,7599.98,9574.41
Corea del Sur,1803,Chocolates,2011,19126.08,nan
Corea del Sur,1804,Chocolates,2011,1935.63,nan
Corea del Sur,1805,Chocolates,2011,28656.02,nan
Corea del Sur,1905,Panaderia y pastelería,2011,122379.60,1456.79
Corea del Sur,0201,Productos cárnicos,2012,nan,nan
Corea del Sur,0202,Productos cárnicos,2012,65.10,nan
Corea del Sur,0203,Productos cárnicos,2012,380230.17,833.04
Corea del Sur,0204,Productos cárnicos,2012,17.73,nan
Corea del Sur,0205,Productos cárnicos,2012,nan,nan
Corea del Sur,0206,Productos cárnicos,2012,28989.22,nan
Corea del Sur,0207,Productos cárnicos,2012,10367.30,nan
Corea del Sur,0208,Productos cárnicos,2012,220.17,8.78
Corea del Sur,0209,Productos cárnicos,2012,153.32,nan
Corea del Sur,0210,Productos cárnicos,2012,8622.28,3.45
Corea del Sur,0302,Pescados y mariscos,2012,8421.18,nan
Corea del Sur,0303,Pescados y mariscos,2012,14100.52,43482.19
Corea del Sur,0304,Pescados y mariscos,2012,7180.77,12749.45
Corea del Sur,0305,Pescados y mariscos,2012,2666.37,172.02
Corea del Sur,0701,Verduras y hortalizas,2012,105.60,nan
Corea del Sur,0702,Verduras y hortalizas,2012,846.92,nan
Corea del Sur,0703,Verduras y hortalizas,2012,2094.01,2.32
Corea del Sur,0704,Verduras y hortalizas,2012,165.09,0.00
Corea del Sur,0705,Verduras y hortalizas,2012,1070.53,nan
Corea del Sur,0706,Verduras y hortalizas,2012,139.23,23.77
Corea del Sur,0707,Verduras y hortalizas,2012,729.24,nan
Corea del Sur,0708,Verduras y hortalizas,2012,279.41,nan
Corea del Sur,0803,Frutas y frutos secos,2012,23.13,nan
Corea del Sur,0804,Frutas y frutos secos,2012,2201.05,0.02
Corea del Sur,0805,Frutas y frutos secos,2012,19381.35,0.10
Corea del Sur,0806,Frutas y frutos secos,2012,1426.06,nan
Corea del Sur,0807,Frutas y frutos secos,2012,140.22,nan
Corea del Sur,0808,Frutas y frutos secos,2012,3590.80,43.46
Corea del Sur,0809,Frutas y frutos secos,2012,1850.76,nan
Corea del Sur,0810,Frutas y frutos secos,2012,12432.91,2.08
Corea del Sur,1101,Cereales y harinas,2012,1677.33,85.40
Corea del Sur,1102,Cereales y harinas,2012,1260.01,21.41
Corea del Sur,1103,Cereales y harinas,2012,525.03,149.79
Corea del Sur,1104,Cereales y harinas,2012,373.45,7.14
Corea del Sur,0401,"Huevos, productos lácteos y miel",2012,17478.34,0.31
Corea del Sur,0402,"Huevos, productos lácteos y miel",2012,31162.60,0.16
Corea del Sur,0403,"Huevos, productos lácteos y miel",2012,1119.52,nan
Corea del Sur,0404,"Huevos, productos lácteos y miel",2012,62113.37,61.57
Corea del Sur,0405,"Huevos, productos lácteos y miel",2012,3352.94,nan
Corea del Sur,0406,"Huevos, productos lácteos y miel",2012,164735.23,nan
Corea del Sur,0407,"Huevos, productos lácteos y miel",2012,19.23,nan
Corea del Sur,0408,"Huevos, productos lácteos y miel",2012,334.87,nan
Corea del Sur,0409,"Huevos, productos lácteos y miel",2012,1722.52,0.11
Corea del Sur,1509,Aceites,2012,109956.25,18.94
Corea del Sur,1511,Aceites,2012,472.01,0.32
Corea del Sur,1512,Aceites,2012,12879.02,nan
Corea del Sur,2201,Bebidas,2012,49673.08,96.20
Corea del Sur,2202,Bebidas,2012,54855.64,8798.87
Corea del Sur,2203,Bebidas,2012,179257.24,128.32
Corea del Sur,2204,Bebidas,2012,835346.67,19.08
Corea del Sur,2205,Bebidas,2012,6719.34,nan
Corea del Sur,2206,Bebidas,2012,3383.50,288.33
Corea del Sur,2207,Bebidas,2012,2398.41,11358.40
Corea del Sur,1803,Chocolates,2012,19814.59,nan
Corea del Sur,1804,Chocolates,2012,1892.05,nan
Corea del Sur,1805,Chocolates,2012,26748.42,nan
Corea del Sur,1905,Panaderia y pastelería,2012,138098.54,2610.20
Corea del Sur,0201,Productos cárnicos,2013,nan,0.01
Corea del Sur,0202,Productos cárnicos,2013,9.65,nan
Corea del Sur,0203,Productos cárnicos,2013,271311.58,437.75
Corea del Sur,0204,Productos cárnicos,2013,90.44,nan
Corea del Sur,0205,Productos cárnicos,2013,nan,nan
Corea del Sur,0206,Productos cárnicos,2013,17448.11,102.15
Corea del Sur,0207,Productos cárnicos,2013,14710.29,nan
Corea del Sur,0208,Productos cárnicos,2013,620.10,nan
Corea del Sur,0209,Productos cárnicos,2013,302.41,nan
Corea del Sur,0210,Productos cárnicos,2013,9117.63,nan
Corea del Sur,0302,Pescados y mariscos,2013,6346.44,nan
Corea del Sur,0303,Pescados y mariscos,2013,18112.41,17731.82
Corea del Sur,0304,Pescados y mariscos,2013,6069.84,15785.79
Corea del Sur,0305,Pescados y mariscos,2013,2349.62,146.49
Corea del Sur,0701,Verduras y hortalizas,2013,62.00,0.02
Corea del Sur,0702,Verduras y hortalizas,2013,429.59,nan
Corea del Sur,0703,Verduras y hortalizas,2013,3936.29,5.93
Corea del Sur,0704,Verduras y hortalizas,2013,163.70,nan
Corea del Sur,0705,Verduras y hortalizas,2013,1056.15,nan
Corea del Sur,0706,Verduras y hortalizas,2013,156.18,35.79
Corea del Sur,0707,Verduras y hortalizas,2013,2329.07,nan
Corea del Sur,0708,Verduras y hortalizas,2013,302.66,nan
Corea del Sur,0803,Frutas y frutos secos,2013,2.97,nan
Corea del Sur,0804,Frutas y frutos secos,2013,1849.68,0.05
Corea del Sur,0805,Frutas y frutos secos,2013,13860.58,nan
Corea del Sur,0806,Frutas y frutos secos,2013,1060.14,0.93
Corea del Sur,0807,Frutas y frutos secos,2013,74.88,nan
Corea del Sur,0808,Frutas y frutos secos,2013,1922.77,73.72
Corea del Sur,0809,Frutas y frutos secos,2013,1736.67,nan
Corea del Sur,0810,Frutas y frutos secos,2013,12903.19,1.08
Corea del Sur,1101,Cereales y harinas,2013,1928.01,74.89
