País,Tarics,Descripción,Año,Exportaciones,Importaciones
Singapur,0804,Frutas y frutos secos,2012,10.38,0.44
Singapur,0805,Frutas y frutos secos,2012,598.97,nan
Singapur,0806,Frutas y frutos secos,2012,148.39,1.43
Singapur,0807,Frutas y frutos secos,2012,906.74,nan
Singapur,0808,Frutas y frutos secos,2012,6402.78,nan
Singapur,0809,Frutas y frutos secos,2012,665.73,nan
Singapur,0810,Frutas y frutos secos,2012,1961.26,8.35
Singapur,1101,Cereales y harinas,2012,307.13,0.00
Singapur,1102,Cereales y harinas,2012,93.25,nan
Singapur,1103,Cereales y harinas,2012,15.35,nan
Singapur,1104,Cereales y harinas,2012,644.53,0.09
Singapur,0401,"Huevos, productos lácteos y miel",2012,9278.96,nan
Singapur,0402,"Huevos, productos lácteos y miel",2012,50565.43,120.95
Singapur,0403,"Huevos, productos lácteos y miel",2012,1662.56,0.10
Singapur,0404,"Huevos, productos lácteos y miel",2012,15989.97,0.00
Singapur,0405,"Huevos, productos lácteos y miel",2012,28135.34,nan
Singapur,0406,"Huevos, productos lácteos y miel",2012,13993.28,76.78
Singapur,0407,"Huevos, productos lácteos y miel",2012,145.08,nan
Singapur,0408,"Huevos, productos lácteos y miel",2012,0.09,nan
Singapur,0409,"Huevos, productos lácteos y miel",2012,450.51,0.19
Singapur,1509,Aceites,2012,4713.97,nan
Singapur,1511,Aceites,2012,0.04,5925.48
Singapur,1512,Aceites,2012,10675.65,0.14
Singapur,2201,Bebidas,2012,6940.95,3.07
Singapur,2202,Bebidas,2012,9274.31,6886.30
Singapur,2203,Bebidas,2012,29479.21,999.08
Singapur,2204,Bebidas,2012,267687.23,45.28
Singapur,2205,Bebidas,2012,394.92,0.01
Singapur,2206,Bebidas,2012,963.76,7.62
Singapur,2207,Bebidas,2012,895.94,nan
Singapur,1803,Chocolates,2012,7945.71,28.98
Singapur,1804,Chocolates,2012,156.76,2617.43
Singapur,1805,Chocolates,2012,8221.98,nan
Singapur,1905,Panaderia y pastelería,2012,18285.13,10515.62
Singapur,0201,Productos cárnicos,2013,588.95,nan
Singapur,0202,Productos cárnicos,2013,116.65,nan
Singapur,0203,Productos cárnicos,2013,43177.80,nan
Singapur,0204,Productos cárnicos,2013,3.68,0.04
Singapur,0205,Productos cárnicos,2013,nan,nan
Singapur,0206,Productos cárnicos,2013,10171.41,24.21
Singapur,0207,Productos cárnicos,2013,5329.67,5.99
Singapur,0208,Productos cárnicos,2013,637.36,nan
Singapur,0209,Productos cárnicos,2013,1234.03,nan
Singapur,0210,Productos cárnicos,2013,4538.83,nan
Singapur,0302,Pescados y mariscos,2013,767.68,nan
Singapur,0303,Pescados y mariscos,2013,4584.83,1008.21
Singapur,0304,Pescados y mariscos,2013,4750.29,nan
Singapur,0305,Pescados y mariscos,2013,779.17,nan
Singapur,0701,Verduras y hortalizas,2013,85.41,nan
Singapur,0702,Verduras y hortalizas,2013,614.65,nan
Singapur,0703,Verduras y hortalizas,2013,1826.14,nan
